,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,AUTOCLASS_PQN,Z,BAL_PROB,BI_CIV,AI_CIV
1608,093246.11+201026.2,143.1921280588498,20.17396719153829,5766,56248,572,QSO,3.242,0.0,0.0,0.0
1609,222645.01+022033.6,336.6875670227624,2.34268741750081,9169,58069,594,QSO,1.745186686515808,0.0,0.0,0.0
1610,011116.42+195630.0,17.818455867008677,19.941684766394072,5133,55860,596,QSO,2.939,0.0,0.0,0.0
1611,001726.66+064943.2,4.361110281038975,6.8286882725494555,4537,55806,386,QSO,2.3,0.0,0.0,0.0
1612,082723.13+431250.7,126.84637952132056,43.21410895566195,3807,55511,986,QSO,2.441,0.0,0.0,0.0
1613,013138.47+021432.3,22.9103247021377,2.2423055506036675,7860,57006,818,QSO,2.128073215484619,0.0,0.0,0.0
1614,135234.61+191826.2,208.14421030857415,19.307299750112783,5858,56063,8,VI,3.916,0.0,0.0,0.0
1615,082936.75+494323.5,127.40313772272205,49.723215470474265,7318,56990,943,QSO,1.881199836730957,0.0,0.0,0.0
1616,130042.63+035702.8,195.1776446136521,3.9507853381358244,4758,55682,386,QSO,2.338,0.0,0.0,0.0
1617,223015.39+315231.3,337.5641653498367,31.8753640280362,6510,56486,968,QSO,2.37,0.0,0.0,0.0
1618,152648.61+425343.9,231.70256563077663,42.8955430314863,8516,58220,660,QSO,1.6768912076950073,0.0,0.0,0.0
1619,095128.57+294728.6,147.86908104484456,29.79129627128878,11379,58438,366,QSO,1.718753457069397,0.0,0.0,0.0
1620,084705.17+182904.6,131.77157547665644,18.484627036651915,5176,56221,258,QSO,2.432,0.0,0.0,0.0
1621,150117.63+353614.4,225.3234990297508,35.60400316306766,10747,58220,779,QSO,1.7231446504592896,0.0,0.0,0.0
1622,105404.57+362658.2,163.51905460672646,36.44950917041168,10269,58220,645,QSO,1.6564916372299194,0.0,0.0,0.0
1623,123733.44+393722.0,189.38934507951956,39.62278018513356,8836,57424,532,QSO,1.8312733173370361,0.0,0.0,0.0
1624,081351.37+265450.9,123.46406273594488,26.91414752149968,4463,55868,846,QSO,2.578,0.0,0.0,0.0
1625,000359.65+260337.2,0.9985776728884161,26.060350285492973,7666,57339,988,QSO,2.003986358642578,0.0,0.0,0.0
1626,082837.91+475343.0,127.15798168361026,47.895291011236154,3693,55208,2,QSO,2.518,0.0,0.0,0.0
1627,082357.30+353528.8,125.98876172303972,35.591349318339276,3759,55236,986,QSO,2.406,0.0,0.0,0.0
1628,090708.58+480336.0,136.78577227381146,48.06000932758184,7314,56990,591,QSO,1.7532546520233154,0.0,0.0,0.0
1629,101828.33+554907.4,154.6180593798526,55.81873016000957,8180,57345,590,QSO,1.9416805505752563,0.0,0.0,0.0
1630,143219.10+532820.4,218.07958652323234,53.47235547558109,7031,56449,986,QSO,1.849,0.0,0.0,0.0
1631,125141.06+460222.0,192.92109043426183,46.03944635951833,7417,56753,696,QSO,2.066,0.0,0.0,0.0
1632,112300.46+415157.4,170.75192711359364,41.86595307119418,8368,57431,612,QSO,1.5856281518936157,0.0,0.0,0.0
1633,002727.28+012138.3,6.863707610819915,1.3606425715664718,7855,57011,490,QSO,2.218463897705078,0.0,0.0,0.0
1634,142542.80+181454.1,216.42834070483593,18.24838239435098,5897,56042,243,QSO,1.847,0.0,0.0,0.0
1635,081627.40+311418.4,124.11419489673168,31.238453502715878,4447,55542,850,QSO,2.549,0.0,0.0,0.0
1636,093027.00+090923.0,142.61254144592755,9.156402388879977,5309,55929,928,QSO,2.568,0.0,0.0,0.0
1637,112040.70+582751.0,170.16961819871057,58.46418556504725,7108,56686,244,QSO,1.653,0.0,0.0,0.0
1638,132016.41+551348.3,200.06838700259064,55.230091402842675,8205,58143,502,QSO,1.5816665887832642,0.0,0.0,0.0
1639,122209.87+425035.5,185.54115078930607,42.84320788343702,8373,57785,249,QSO,1.9249316453933716,0.0,0.0,0.0
1640,012119.61+335750.6,20.331725113006264,33.96407902853071,7726,58154,320,QSO,1.6436012983322144,0.0,0.0,0.0
1641,145859.13+404952.7,224.74637872113834,40.831317635387265,8494,57104,756,QSO,1.8569669723510742,0.0,0.0,0.0
1642,220839.57+284800.7,332.16490541973144,28.800214848323318,7646,57570,818,QSO,2.026688814163208,0.0,0.0,0.0
1643,221007.69+280030.6,332.5320543384919,28.008520348912324,5962,56265,612,QSO,2.565,0.0,0.0,0.0
1644,082456.23+293336.8,126.23431252850183,29.560230338752945,10663,58162,364,QSO,1.8342336416244507,0.0,0.0,0.0
1645,104522.35+421042.7,161.34315038266215,42.17853678142581,8365,57450,570,QSO,2.111459970474243,0.0,0.0,0.0
1646,132756.54+543505.1,201.9856152643352,54.58475917666315,8205,58143,304,VI,3.496000051498413,0.0,0.0,0.0
1647,222435.72+272835.6,336.1488525626388,27.476560006030123,5956,56104,888,QSO,2.797,0.0,0.0,0.0
